"LOCATION:1","12","Johor"
"LOCATION:10","5","Perak"
"LOCATION:11","2","Perlis"
"LOCATION:12","1","Putrajaya"
"LOCATION:13",,"Sabah"
"LOCATION:14",,"Sarawak"
"LOCATION:15","6","Selangor"
"LOCATION:16","9","Terengganu"
"LOCATION:2","3","Kedah"
"LOCATION:3","13","Kelantan"
"LOCATION:4","10","Kuala Lumpur"
"LOCATION:5",,"Labuan"
"LOCATION:6","7","Melaka"
"LOCATION:7","11","Negeri Sembilan"
"LOCATION:8","8","Pahang"
"LOCATION:9","4","Pulau Pinang"
